NUM_LOCATIONS 71

;Number    X     Y   Type     Special_value

 0       110   194   tone     0
 1       729   167   tone     0
 2      1715   254   tone     0
 3      2071   143   tone     0
 4       298   225   bridge   4
 5       924   141   bridge   12
 6      2282   146   bridge   5
 7        75   258   mdpad    0
 8       119   277   mdpad    0
 9       127   142   lgpad    0
10       223    79   mdpad    0
11       291    73   smpad    0
12       381   203   smpad    0
13       511   277   smpad    0
14       197   160   smpad    0
15       258   164   mdpad    0
16       374   142   lgpad    0
17       327   300   smpad    0
18       537   213   smpad    0
19       436   281   mdpad    0
20       846    79   mdpad    0
21       910    74   smpad    0
22       987   101   lgpad    0
23       851   187   mdpad    0
24       730   113   smpad    0
25       779   120   smpad    0
26       809   253   mdpad    0
27       870   241   smpad    0
28       950   251   smpad    0
29       981   275   smpad    0
30      1022   265   smpad    0
31      1520   296   smpad    0
32      1799   181   mdpad    0
33      1840   196   smpad    0
34      1884   183   smpad    0
35      1924    96   lgpad    0
36      1990   100   smpad    0
37      2164    62   smpad    0
38      2217    53   mdpad    0
39      2203   271   mdpad    0
40      2307    90   lgpad    0
41      2065   248   mdpad    0
42      2112   263   smpad    0
43      2145   249   smpad    0
44      2258   256   smpad    0
45      2329   175   smpad    0
46      2361   129   smpad    0
47      2385   178   mdpad    0
48      2458   235   mdpad    0
49      2513   255   smpad    0
50      2444   163   smpad    0
51      2422   138   smpad    0
52      2483   143   smpad    0
53      2513   158   smpad    0
54      2448    95   mdpad    0
55        33   123   mdpad    0
56        24   220   smpad    0
57       461   203   smpad    0
58       489   225   smpad    0
59      1673   308   smpad    0
60      1711   295   smpad    0
61      1762   308   mdpad    0
62      1136   227   smpad    0
63      1414   295   smpad    0
64      1269   299   smpad    0
65      1059   215   smpad    0
66      1214   267   mdpad    0
67       635   252   mdpad    0
68      1344   134   feature  0
69      1223   149   feattrig 0
70      1345   227   feattrig 1


